step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest
28,CASH_OUT,446868.75,C2932842487,956976.06,510107.31000000006,M6401193218,510920.03,957788.78
25,PAYMENT,423526.76,C1780482654,585470.72,161943.95999999996,M926239790,631042.07,631042.07
16,CASH_OUT,424484.43,C5168740086,958820.29,534335.8600000001,M270847729,0.0,424484.43
10,DEBIT,268802.82,C3964387774,619951.52,351148.7,M5963957078,504653.84,504653.84
10,TRANSFER,379763.98,C4286671244,417098.25,37334.27000000002,M2724626395,845811.24,1225575.22
9,TRANSFER,124349.09,C9113577262,53917.15,0.0,M125169919,0.0,124349.09
12,TRANSFER,456186.42,C1209294217,665992.23,209805.81,M6933095641,0.0,456186.42
20,DEBIT,16193.54,C9443893423,589650.73,573457.19,M669497755,0.0,0.0
7,TRANSFER,38931.39,C6978087400,192491.29,153559.90000000002,M6918556864,0.0,38931.39
18,DEBIT,468007.25,C7663935618,414980.33,0.0,M7689636926,0.0,0.0
4,TRANSFER,189280.62,C8600867395,457186.17,267905.55,M1559080963,901948.0,1091228.62
10,DEBIT,379776.4,C2765282939,596651.36,216874.95999999996,M8060897594,0.0,0.0
24,CASH_OUT,157908.5,C8358271842,337599.9,179691.40000000002,M2215430392,0.0,157908.5
24,TRANSFER,105474.95,C7994493632,322975.42,217500.46999999997,M3942557895,0.0,105474.95
25,PAYMENT,222973.7,C8946951218,541093.53,318119.83,M530235621,75603.02,75603.02
10,DEBIT,329514.05,C8120981731,301914.38,0.0,M830628519,85720.37,85720.37
2,TRANSFER,426226.71,C3905085289,155016.37,0.0,M6620648776,595655.79,1021882.5
26,CASH_OUT,88771.07,C6822920099,461073.77,372302.7,M8949278664,0.0,88771.07
11,TRANSFER,91153.31,C6764630570,621995.71,530842.3999999999,M7143389982,0.0,91153.31
18,DEBIT,46525.61,C2606564541,224511.67,177986.06,M6730015447,0.0,0.0
15,CASH_OUT,8821.45,C5579880756,126815.57,117994.12000000001,M9744242937,0.0,8821.45
18,TRANSFER,352368.83,C3631551719,212292.61,0.0,M3599479617,383832.59,736201.42
14,DEBIT,424766.56,C6215583241,157720.18,0.0,M6774127880,0.0,0.0
15,PAYMENT,214916.97,C3537379903,71873.13,0.0,M7598671775,0.0,0.0
10,DEBIT,294204.48,C6467343014,128991.73,0.0,M2183390992,902933.93,902933.93
24,DEBIT,440299.68,C2000657052,945682.75,505383.07,M7609280238,664931.61,664931.61
23,CASH_OUT,371469.26,C5362946962,142882.25,0.0,M3137606419,451651.07,823120.3300000001
30,PAYMENT,247195.78,C1780225233,14047.45,0.0,M2077135635,462830.03,462830.03
27,PAYMENT,139518.83,C5681860551,685761.23,546242.4,M9568980497,546291.83,546291.83
28,TRANSFER,421038.79,C3041870063,304816.45,0.0,M3951813185,228490.15,649528.94
26,CASH_OUT,340852.61,C8570937872,289379.21,0.0,M9127620222,0.0,340852.61
25,PAYMENT,101201.27,C8182881310,742502.86,641301.59,M1487490156,917259.7,917259.7
25,CASH_OUT,473976.57,C3456102155,579175.59,105199.01999999996,M9773762988,39946.35,513922.92
13,DEBIT,462414.61,C6839328138,205956.64,0.0,M8799012278,0.0,0.0
27,CASH_OUT,18837.21,C5328091565,931050.95,912213.74,M3675054168,425941.28,444778.49000000005
9,DEBIT,322282.68,C5264532460,300234.05,0.0,M241143376,0.0,0.0
21,PAYMENT,220993.13,C7798841127,74035.66,0.0,M8541697843,0.0,0.0
6,DEBIT,377211.21,C2217233761,61965.76,0.0,M8910663116,501064.1,501064.1
9,PAYMENT,320863.78,C7818650147,72688.93,0.0,M350811575,544003.09,544003.09
8,DEBIT,451840.32,C8286763958,96073.81,0.0,M7765512714,316987.46,316987.46
10,TRANSFER,280301.97,C2098342806,185904.04,0.0,M1584856466,0.0,280301.97
10,TRANSFER,162888.84,C9057296296,960369.82,797480.98,M6182064281,0.0,162888.84
26,DEBIT,256810.78,C6424577833,985802.19,728991.4099999999,M841184240,0.0,0.0
3,PAYMENT,194902.27,C4782112129,607178.1,412275.82999999996,M7662593169,0.0,0.0
5,TRANSFER,439437.62,C9650816388,212746.3,0.0,M4587963845,188298.58,627736.2
26,PAYMENT,203645.99,C2973393249,858371.14,654725.15,M6942738947,899583.16,899583.16
9,CASH_OUT,146739.3,C2324918696,846194.7,699455.3999999999,M9954773884,0.0,146739.3
10,CASH_OUT,23743.36,C7436683152,223663.54,199920.18,M3807716587,299178.29,322921.64999999997
10,CASH_OUT,418751.58,C4422186700,552844.98,134093.39999999997,M5250095381,657979.28,1076730.86
3,TRANSFER,324933.07,C5072450719,772645.76,447712.69,M5199505091,0.0,324933.07
11,PAYMENT,87026.44,C3585928736,123742.55,36716.11,M4105000050,186421.06,186421.06
25,TRANSFER,244945.13,C3057142038,53563.5,0.0,M5158788568,98996.25,343941.38
4,PAYMENT,493431.44,C9028165603,819883.46,326452.01999999996,M7193024535,382093.81,382093.81
22,CASH_OUT,256506.82,C2350470477,505778.85,249272.02999999997,M3090172026,856680.65,1113187.47
15,TRANSFER,101181.68,C6136002909,953682.82,852501.1399999999,M308303081,66831.49,168013.16999999998
